num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
31,256,30,30,32,1024,0.012288
32,256,30,30,32,1024,0.014336
1,256,30,30,64,32,0.012288
2,256,30,30,64,32,0.015872
3,256,30,30,64,32,0.013984
4,256,30,30,64,32,0.011456
5,256,30,30,64,32,0.013472
6,256,30,30,64,32,0.01072
7,256,30,30,64,32,0.011008
8,256,30,30,64,32,0.012288
9,256,30,30,64,32,0.01312
10,256,30,30,64,32,0.01312
11,256,30,30,64,32,0.013888
12,256,30,30,64,32,0.01824
13,256,30,30,64,32,0.012192
14,256,30,30,64,32,0.01376
15,256,30,30,64,32,0.018048
16,256,30,30,64,32,0.01184
17,256,30,30,64,32,0.013024
18,256,30,30,64,32,0.0112
19,256,30,30,64,32,0.01392
20,256,30,30,64,32,0.012288
21,256,30,30,64,32,0.013472
22,256,30,30,64,32,0.0136
23,256,30,30,64,32,0.013344
24,256,30,30,64,32,0.015424
25,256,30,30,64,32,0.012288
26,256,30,30,64,32,0.012256
27,256,30,30,64,32,0.013696
28,256,30,30,64,32,0.011808
29,256,30,30,64,32,0.012352
30,256,30,30,64,32,0.012256
31,256,30,30,64,32,0.014016
32,256,30,30,64,32,0.014272
1,256,30,30,64,64,0.016032
2,256,30,30,64,64,0.01328
3,256,30,30,64,64,0.011744
4,256,30,30,64,64,0.01472
5,256,30,30,64,64,0.013984
6,256,30,30,64,64,0.014336
7,256,30,30,64,64,0.014304
8,256,30,30,64,64,0.010496
9,256,30,30,64,64,0.012288
10,256,30,30,64,64,0.011168
11,256,30,30,64,64,0.014336
12,256,30,30,64,64,0.0152
13,256,30,30,64,64,0.012448
14,256,30,30,64,64,0.014336
15,256,30,30,64,64,0.012288
16,256,30,30,64,64,0.015424
17,256,30,30,64,64,0.013472
18,256,30,30,64,64,0.013216
19,256,30,30,64,64,0.011744
20,256,30,30,64,64,0.01104
21,256,30,30,64,64,0.01392
22,256,30,30,64,64,0.012768
23,256,30,30,64,64,0.01216
24,256,30,30,64,64,0.012416
25,256,30,30,64,64,0.014688
26,256,30,30,64,64,0.012288
27,256,30,30,64,64,0.013312
28,256,30,30,64,64,0.01088
29,256,30,30,64,64,0.012192
30,256,30,30,64,64,0.016384
31,256,30,30,64,64,0.012288
32,256,30,30,64,64,0.014336
1,256,30,30,64,128,0.012256
2,256,30,30,64,128,0.012288
3,256,30,30,64,128,0.01168
4,256,30,30,64,128,0.013088
5,256,30,30,64,128,0.014176
6,256,30,30,64,128,0.012288
7,256,30,30,64,128,0.016416
8,256,30,30,64,128,0.016384
9,256,30,30,64,128,0.012224
10,256,30,30,64,128,0.015232
11,256,30,30,64,128,0.015168
12,256,30,30,64,128,0.013152
13,256,30,30,64,128,0.012384
14,256,30,30,64,128,0.010976
15,256,30,30,64,128,0.01232
16,256,30,30,64,128,0.012096
17,256,30,30,64,128,0.012832
18,256,30,30,64,128,0.01296
19,256,30,30,64,128,0.013824
20,256,30,30,64,128,0.016
21,256,30,30,64,128,0.013152
22,256,30,30,64,128,0.014464
23,256,30,30,64,128,0.014528
24,256,30,30,64,128,0.015008
25,256,30,30,64,128,0.016096
26,256,30,30,64,128,0.012544
27,256,30,30,64,128,0.0112
28,256,30,30,64,128,0.014336
29,256,30,30,64,128,0.010496
30,256,30,30,64,128,0.012192
31,256,30,30,64,128,0.012288
32,256,30,30,64,128,0.012288
1,256,30,30,64,256,0.013728
2,256,30,30,64,256,0.011776
3,256,30,30,64,256,0.016448
4,256,30,30,64,256,0.012416
5,256,30,30,64,256,0.014112
6,256,30,30,64,256,0.014336
7,256,30,30,64,256,0.014464
8,256,30,30,64,256,0.014336
9,256,30,30,64,256,0.013472
10,256,30,30,64,256,0.014336
11,256,30,30,64,256,0.014464
12,256,30,30,64,256,0.012448
13,256,30,30,64,256,0.015936
14,256,30,30,64,256,0.0144
15,256,30,30,64,256,0.012288
16,256,30,30,64,256,0.014016
17,256,30,30,64,256,0.011168
18,256,30,30,64,256,0.01776
19,256,30,30,64,256,0.012288
20,256,30,30,64,256,0.01408
21,256,30,30,64,256,0.01216
22,256,30,30,64,256,0.014304
23,256,30,30,64,256,0.014336
24,256,30,30,64,256,0.011904
25,256,30,30,64,256,0.01376
26,256,30,30,64,256,0.018496
27,256,30,30,64,256,0.012896
28,256,30,30,64,256,0.016928
29,256,30,30,64,256,0.012832
30,256,30,30,64,256,0.011616
31,256,30,30,64,256,0.012512
32,256,30,30,64,256,0.014592
1,256,30,30,64,512,0.012288
2,256,30,30,64,512,0.0064
3,256,30,30,64,512,0.013664
4,256,30,30,64,512,0.011616
5,256,30,30,64,512,0.013632
6,256,30,30,64,512,0.016608
7,256,30,30,64,512,0.012992
8,256,30,30,64,512,0.016032
9,256,30,30,64,512,0.013568
10,256,30,30,64,512,0.013536
11,256,30,30,64,512,0.014336
12,256,30,30,64,512,0.01488
13,256,30,30,64,512,0.015808
14,256,30,30,64,512,0.013888
15,256,30,30,64,512,0.013056
16,256,30,30,64,512,0.012288
17,256,30,30,64,512,0.013088
18,256,30,30,64,512,0.012192
19,256,30,30,64,512,0.010816
20,256,30,30,64,512,0.014144
21,256,30,30,64,512,0.0144
22,256,30,30,64,512,0.013248
23,256,30,30,64,512,0.014208
24,256,30,30,64,512,0.014336
25,256,30,30,64,512,0.012288
26,256,30,30,64,512,0.014464
27,256,30,30,64,512,0.012288
28,256,30,30,64,512,0.012096
29,256,30,30,64,512,0.011584
30,256,30,30,64,512,0.011648
31,256,30,30,64,512,0.012256
32,256,30,30,64,512,0.012288
1,256,30,30,64,1024,0.012288
2,256,30,30,64,1024,0.012704
3,256,30,30,64,1024,0.014336
4,256,30,30,64,1024,0.01376
5,256,30,30,64,1024,0.012288
6,256,30,30,64,1024,0.016384
7,256,30,30,64,1024,0.017632
8,256,30,30,64,1024,0.014112
9,256,30,30,64,1024,0.012576
10,256,30,30,64,1024,0.014336
11,256,30,30,64,1024,0.012896
12,256,30,30,64,1024,0.016384
13,256,30,30,64,1024,0.014528
14,256,30,30,64,1024,0.014176
15,256,30,30,64,1024,0.010848
16,256,30,30,64,1024,0.014496
17,256,30,30,64,1024,0.015936
18,256,30,30,64,1024,0.011968
19,256,30,30,64,1024,0.012448
20,256,30,30,64,1024,0.016224
21,256,30,30,64,1024,0.01232
22,256,30,30,64,1024,0.012128
23,256,30,30,64,1024,0.013248
24,256,30,30,64,1024,0.01248
25,256,30,30,64,1024,0.016384
26,256,30,30,64,1024,0.014336
27,256,30,30,64,1024,0.006144
28,256,30,30,64,1024,0.014208
29,256,30,30,64,1024,0.015584
30,256,30,30,64,1024,0.013056
31,256,30,30,64,1024,0.014624
32,256,30,30,64,1024,0.014336
1,256,30,30,128,32,0.014368
2,256,30,30,128,32,0.012928
3,256,30,30,128,32,0.01392
