num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
16,16384,30,30,256,512,0.012288
17,16384,30,30,256,512,0.012128
18,16384,30,30,256,512,0.016384
19,16384,30,30,256,512,0.015456
20,16384,30,30,256,512,0.012288
21,16384,30,30,256,512,0.014432
22,16384,30,30,256,512,0.01312
23,16384,30,30,256,512,0.01552
24,16384,30,30,256,512,0.014208
25,16384,30,30,256,512,0.014336
26,16384,30,30,256,512,0.012256
27,16384,30,30,256,512,0.012288
28,16384,30,30,256,512,0.01552
29,16384,30,30,256,512,0.011936
30,16384,30,30,256,512,0.012288
31,16384,30,30,256,512,0.014304
32,16384,30,30,256,512,0.01392
1,16384,30,30,256,1024,0.015392
2,16384,30,30,256,1024,0.013152
3,16384,30,30,256,1024,0.012
4,16384,30,30,256,1024,0.014336
5,16384,30,30,256,1024,0.011808
6,16384,30,30,256,1024,0.014208
7,16384,30,30,256,1024,0.02048
8,16384,30,30,256,1024,0.012288
9,16384,30,30,256,1024,0.010848
10,16384,30,30,256,1024,0.014656
11,16384,30,30,256,1024,0.012288
12,16384,30,30,256,1024,0.014912
13,16384,30,30,256,1024,0.014336
14,16384,30,30,256,1024,0.01536
15,16384,30,30,256,1024,0.011776
16,16384,30,30,256,1024,0.010912
17,16384,30,30,256,1024,0.012064
18,16384,30,30,256,1024,0.014336
19,16384,30,30,256,1024,0.012288
20,16384,30,30,256,1024,0.012
21,16384,30,30,256,1024,0.014336
22,16384,30,30,256,1024,0.014624
23,16384,30,30,256,1024,0.012064
24,16384,30,30,256,1024,0.012096
25,16384,30,30,256,1024,0.012256
26,16384,30,30,256,1024,0.011264
27,16384,30,30,256,1024,0.014144
28,16384,30,30,256,1024,0.01408
29,16384,30,30,256,1024,0.011104
30,16384,30,30,256,1024,0.01488
31,16384,30,30,256,1024,0.012544
32,16384,30,30,256,1024,0.018912
1,16384,30,30,512,64,0.012928
2,16384,30,30,512,64,0.016032
3,16384,30,30,512,64,0.0112
4,16384,30,30,512,64,0.014592
5,16384,30,30,512,64,0.012288
6,16384,30,30,512,64,0.012224
7,16384,30,30,512,64,0.012288
8,16384,30,30,512,64,0.011072
9,16384,30,30,512,64,0.014336
10,16384,30,30,512,64,0.015904
11,16384,30,30,512,64,0.016544
12,16384,30,30,512,64,0.014752
13,16384,30,30,512,64,0.014432
14,16384,30,30,512,64,0.012672
15,16384,30,30,512,64,0.014336
16,16384,30,30,512,64,0.012288
17,16384,30,30,512,64,0.012288
18,16384,30,30,512,64,0.014432
19,16384,30,30,512,64,0.014336
20,16384,30,30,512,64,0.01488
21,16384,30,30,512,64,0.011968
22,16384,30,30,512,64,0.012288
23,16384,30,30,512,64,0.014336
24,16384,30,30,512,64,0.01424
25,16384,30,30,512,64,0.011168
26,16384,30,30,512,64,0.01408
27,16384,30,30,512,64,0.014336
28,16384,30,30,512,64,0.014368
29,16384,30,30,512,64,0.016064
30,16384,30,30,512,64,0.013312
31,16384,30,30,512,64,0.014848
32,16384,30,30,512,64,0.014496
